Cerebellum	Cerebellum	
Somatosensory cortex	Cortex	add
Striatum	Basal Ganglia	add
Isocortex	Cortex	replace
hippocampus (CA1)	Hippocampus	
n/a	Other	replace
general	Other	replace
Cortex	Cortex	
Whole Mouse Brain	Whole-brain	
Basal ganglia	Basal Ganglia	
